stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
Cosmoplex Cinema,22.270285,70.741985,101,Cosmoplex Cinema,A,1,101,1
Court yard,22.254185,70.76431567,417,Court yard,A,1,417,1
Crystal Mall,22.279805,70.763895,108,Crystal Mall,A,1,108,1
Deluxe Cinema Chowk,22.305891,70.811706,1128,Deluxe Cinema Chowk,A,1,1128,1
Devpara,22.27359,70.812585,48,Devpara,A,1,48,1
Dharamshi Korat Chowk,22.27131,70.752149,1253,Dharamshi Korat Chowk,A,1,1253,1
Dharmendrasinhji College,22.2911,70.79322,172,Dharmendrasinhji College,A,1,172,1
Doshi Hospital- Shivnagar,22.264805,70.7998,14,Doshi Hospital- Shivnagar,A,1,14,1
Dr.Bhimrav ambedkar Chowk,22.30410999,70.80249374,39,Dr.Bhimrav ambedkar Chowk,A,1,39,1
Drainage pumping Station (Raiya),22.2998458,70.74220171,351,Drainage pumping Station (Raiya),A,1,351,1
Dream City,22.311228,70.756259,1190,Dream City,A,1,1190,1
Dream city,22.25424717,70.77322479,420,Dream city,A,1,420,1
Dudheshvar Mahadev,22.3003,70.82978,249,Dudheshvar Mahadev,A,1,249,1
Dwarkadhish chowk,22.2607244,70.76278372,283,Dwarkadhish chowk,A,1,283,1
Everest Park,22.274015,70.757295,105,Everest Park,A,1,105,1
Field Marshal Chowk,22.28447536,70.82646377,148,Field Marshal Chowk,A,1,148,1
Fuliya Hanuman Temple,22.2699,70.789025,262,Fuliya Hanuman Temple,A,1,262,1
Fullchhab Chowk,22.29859,70.793895,129,Fullchhab Chowk,A,1,129,1
Fulwadi,22.27104867,70.77688233,530,Fulwadi,A,1,530,1
G-road crossing,22.32471772,70.73241482,1213,G-road crossing,A,1,1213,1
G.I.D.C. Gate 1,22.24958,70.681225,92,G.I.D.C. Gate 1,A,1,92,1
G.I.D.C. Gate 2,22.249,70.679625,91,G.I.D.C. Gate 2,A,1,91,1
G.I.D.C. Gate 3,22.246775,70.67358,90,G.I.D.C. Gate 3,A,1,90,1
Gadhiyanagar,22.30022,70.82821,250,Gadhiyanagar,A,1,250,1
Ganga Gate,22.1530478,70.7905703,1344,Ganga Gate,A,1,1344,1
Ganjanand Chowk,22.3063736,70.7577155,1189,Ganjanand Chowk,A,1,1189,1
Gauridad Village,22.397115,70.794595,486,Gauridad Village,A,1,486,1
Gayatridham,22.324425,70.776485,216,Gayatridham,A,1,216,1
Ghanshyam Nagar/Nanda Hall,22.2693,70.813185,49,Ghanshyam Nagar/Nanda Hall,A,1,49,1
