trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD16,06:36:40,06:37:50,309_1,12
WD16,06:37:50,06:39:00,19_1,13
WD16,06:39:00,06:40:10,22_1,14
WD16,06:40:10,06:41:20,48_1,15
WD16,06:41:20,06:42:30,37_1,16
WD16,06:42:30,06:43:40,30_1,17
WD16,06:43:40,06:44:50,35_1,18
WD16,06:44:50,06:46:00,240_1,19
WD16,06:46:00,06:47:10,137_1,20
WD16,06:47:10,06:48:20,295_1,21
WD16,06:48:20,06:49:30,194_1,22
WD16,06:49:30,06:50:40,281_1,23
WD16,06:50:40,06:51:50,33_1,24
WD16,06:51:50,06:53:00,348_1,25
WD16,06:53:00,06:54:10,4_1,26
WD16,06:54:10,06:55:20,10_1,27
WD16,06:55:20,06:56:30,12_1,28
WD16,06:56:30,06:57:40,11_1,29
WD16,06:57:40,06:58:50,498_1,30
WD16,06:58:50,07:00:00,366_1,31
WD16,07:00:00,07:01:10,347_1,32
WD16,07:01:10,07:02:20,294_1,33
WD16,07:02:20,07:35:00,81_1,34
WD17,06:30:00,06:30:00,41_1,1
WD17,06:30:00,06:31:10,45_1,2
WD17,06:31:10,06:32:20,16_1,3
WD17,06:32:20,06:33:30,5_1,4
WD17,06:33:30,06:34:40,14_1,5
WD17,06:34:40,06:35:50,355_1,6
WD17,06:35:50,06:37:00,20_1,7
WD17,06:37:00,06:38:10,15_1,8
WD17,06:38:10,06:39:20,13_1,9
WD17,06:39:20,06:40:30,42_1,10
WD17,06:40:30,06:41:40,375_1,11
WD17,06:41:40,06:42:50,309_1,12
WD17,06:42:50,06:44:00,19_1,13
WD17,06:44:00,06:45:10,22_1,14
WD17,06:45:10,06:46:20,48_1,15
WD17,06:46:20,06:47:30,37_1,16
WD17,06:47:30,06:48:40,30_1,17
WD17,06:48:40,06:49:50,35_1,18
WD17,06:49:50,06:51:00,240_1,19
WD17,06:51:00,06:52:10,137_1,20
WD17,06:52:10,06:53:20,295_1,21
WD17,06:53:20,06:54:30,194_1,22
WD17,06:54:30,06:55:40,281_1,23
WD17,06:55:40,06:56:50,33_1,24
WD17,06:56:50,06:58:00,348_1,25
WD17,06:58:00,06:59:10,4_1,26
WD17,06:59:10,07:00:20,10_1,27
WD17,07:00:20,07:01:30,12_1,28
WD17,07:01:30,07:02:40,11_1,29
WD17,07:02:40,07:03:50,498_1,30
WD17,07:03:50,07:05:00,366_1,31
WD17,07:05:00,07:06:10,347_1,32
WD17,07:06:10,07:07:20,294_1,33
WD17,07:07:20,07:40:00,81_1,34
WD18,06:35:00,06:35:00,41_1,1
WD18,06:35:00,06:36:10,45_1,2
WD18,06:36:10,06:37:20,16_1,3
WD18,06:37:20,06:38:30,5_1,4
WD18,06:38:30,06:39:40,14_1,5
WD18,06:39:40,06:40:50,355_1,6
WD18,06:40:50,06:42:00,20_1,7
WD18,06:42:00,06:43:10,15_1,8
WD18,06:43:10,06:44:20,13_1,9
WD18,06:44:20,06:45:30,42_1,10
WD18,06:45:30,06:46:40,375_1,11
WD18,06:46:40,06:47:50,309_1,12
WD18,06:47:50,06:49:00,19_1,13
WD18,06:49:00,06:50:10,22_1,14
WD18,06:50:10,06:51:20,48_1,15
WD18,06:51:20,06:52:30,37_1,16
WD18,06:52:30,06:53:40,30_1,17
WD18,06:53:40,06:54:50,35_1,18
WD18,06:54:50,06:56:00,240_1,19
WD18,06:56:00,06:57:10,137_1,20
WD18,06:57:10,06:58:20,295_1,21
WD18,06:58:20,06:59:30,194_1,22
WD18,06:59:30,07:00:40,281_1,23
WD18,07:00:40,07:01:50,33_1,24
WD18,07:01:50,07:03:00,348_1,25
WD18,07:03:00,07:04:10,4_1,26
WD18,07:04:10,07:05:20,10_1,27
WD18,07:05:20,07:06:30,12_1,28
WD18,07:06:30,07:07:40,11_1,29
WD18,07:07:40,07:08:50,498_1,30
WD18,07:08:50,07:10:00,366_1,31
WD18,07:10:00,07:11:10,347_1,32
WD18,07:11:10,07:12:20,294_1,33
WD18,07:12:20,07:45:00,81_1,34
WD19,06:45:00,06:45:00,41_1,1
WD19,06:45:00,06:46:10,45_1,2
WD19,06:46:10,06:47:20,16_1,3
WD19,06:47:20,06:48:30,5_1,4
WD19,06:48:30,06:49:40,14_1,5
WD19,06:49:40,06:50:50,355_1,6
WD19,06:50:50,06:52:00,20_1,7
WD19,06:52:00,06:53:10,15_1,8
WD19,06:53:10,06:54:20,13_1,9
WD19,06:54:20,06:55:30,42_1,10
WD19,06:55:30,06:56:40,375_1,11
WD19,06:56:40,06:57:50,309_1,12
WD19,06:57:50,06:59:00,19_1,13
WD19,06:59:00,07:00:10,22_1,14
WD19,07:00:10,07:01:20,48_1,15
WD19,07:01:20,07:02:30,37_1,16
